日期,茅台收盘,平安收盘,茅台收益率,平安收益率
2020-11-30,9000.51,90.03,-0.01321558373213605,-0.0007769145394005417
2020-12-01,9116.53,93.38,0.01289038065620729,0.03720981894923914
2020-12-02,9121.61,92.85,0.0005572295599312049,-0.005675733561790519
2020-12-03,9176.83,91.87,0.006053755861081367,-0.01055465805061917
2020-12-04,9398.47,92.19,0.024152130964613994,0.003483182758245329
2020-12-07,9495.4,90.38,0.010313380794959137,-0.019633365874823783
2020-12-08,9684.33,88.05,0.019897002759230897,-0.0257800398318212
2020-12-09,9634.08,87.87,-0.005188794681717734,-0.002044293015332155
2020-12-10,9598.41,87.68,-0.0037024811917691913,-0.002162285194036606
2020-12-11,9533.59,86.1,-0.006753201832386813,-0.01802007299270092
2020-12-14,9578.81,87.69,0.004743228941038957,0.01846689895470388
2020-12-15,9513.54,86.3,-0.006813998816136757,-0.01585129433230703
2020-12-16,9634.08,86.84,0.012670362451831618,0.006257242178447253
2020-12-17,9762.27,88.98,0.013305889093717438,0.024643021649009667
2020-12-18,9659.21,87.79,-0.010556970868455973,-0.01337379186334009
2020-12-21,9646.65,87.05,-0.0013003133796655186,-0.008429206059915817
2020-12-22,9840.1,84.15,0.020053593734612685,-0.033314187248707494
2020-12-23,9642.37,84.85,-0.02009430798467493,0.00831847890671411
2020-12-24,9585.54,84.2,-0.005893779226476492,-0.0076605774896876255
2020-12-25,9583.84,83.2,-0.0001773504674750237,-0.01187648456057011
2020-12-28,9799.9,84.62,0.022544199402327214,0.017067307692307798
2020-12-29,9769.75,85.5,-0.0030765620057346954,0.01039943275821309
2020-12-30,10101.39,85.88,0.033945597379666737,0.004444444444444473
2020-12-31,10428.0,86.98,0.032333173949327776,0.01280857009781089
2021-01-04,10422.98,85.18,-0.00048139624088994193,-0.020694412508622584
2021-01-05,10736.77,84.27,0.03010559360182996,-0.010683258980981547
2021-01-06,10940.53,85.74,0.018977774507603407,0.017443930224279036
2021-01-07,11141.52,86.26,0.018371139240969114,0.0060648472125031105
2021-01-08,10890.28,86.1,-0.022549885473436282,-0.001854857407836863
2021-01-11,10939.17,84.03,0.004489324425083652,-0.024041811846689853
2021-01-12,11246.54,87.82,0.028098109820032136,0.045102939426395317
2021-01-13,11262.12,87.54,0.0013853149501981132,-0.003188339785925587
2021-01-14,11111.37,85.27,-0.0133855792692672,-0.025931002970070893
2021-01-15,10850.08,86.9,-0.02351555208763645,0.01911574997068155
2021-01-18,10754.61,87.2,-0.008799013463495098,0.0034522439585731313
2021-01-19,10485.33,86.8,-0.02503856485730316,-0.004587155963302836
2021-01-20,10642.21,85.2,0.014961856231515691,-0.018433179723502224
2021-01-21,10789.79,84.44,0.013867420394824137,-0.008920187793427292
2021-01-22,10839.78,83.8,0.004633083683741823,-0.007579346281383237
2021-01-25,11317.39,84.88,0.044060857323672487,0.01288782816229106
2021-01-26,11151.02,83.0,-0.014700385866352472,-0.022148916116870865
2021-01-27,10885.26,83.04,-0.0238327973584479,0.0004819277108434328
2021-01-28,10880.23,80.92,-0.00046209277500042223,-0.025529865125240914
2021-01-29,11021.83,79.08,0.013014430761114415,-0.022738507167572974
2021-02-01,10987.36,79.27,-0.003127429836968898,0.002402630247850146
2021-02-02,11166.65,78.18,0.0163178415925207,-0.013750473066733826
2021-02-03,11392.31,76.54,0.020208388370728914,-0.02097723202865187
2021-02-04,12050.25,79.62,0.05775299302775294,0.04024039717794614
2021-02-05,12010.81,79.72,-0.0032729611418850224,0.0012559658377291338
2021-02-08,12291.19,78.57,0.023343970972815375,-0.014425489212242959
2021-02-09,12731.52,78.13,0.03582484690253751,-0.00560010182003301
2021-02-10,13457.95,79.25,0.05705760192027354,0.014335082554716605
2021-02-18,12804.73,82.38,-0.048537853090552474,0.03949526813880122
2021-02-19,12749.45,84.2,-0.004317154676435897,0.02209274095654301
2021-02-22,11885.29,83.0,-0.06778017875280895,-0.014251781472684133
2021-02-23,11980.66,84.32,0.008024204710192162,0.015903614457831283
2021-02-24,11387.74,83.78,-0.04948976099814206,-0.006404174573054977
2021-02-25,11191.77,87.14,-0.017208857947230927,0.04010503700167112
2021-02-26,11054.99,85.18,-0.012221480605838053,-0.0224925407390405
2021-03-01,11231.97,84.84,0.01600906016197201,-0.003991547311575472
2021-03-02,10729.49,83.23,-0.044736586725213745,-0.018976897689768957
2021-03-03,11141.52,86.75,0.038401638847699315,0.04229244262885978
