日期,茅台收盘,平安收盘
2021-06-25,10997.27,66.68
2021-06-28,11052.6,65.6
2021-06-29,10846.53,64.38
2021-06-30,10819.9,64.28
2021-07-01,11062.6,64.76
2021-07-02,10600.32,62.3
2021-07-05,10504.85,61.91
2021-07-06,10599.81,62.9
2021-07-07,10555.09,62.37
2021-07-08,10459.62,60.78
2021-07-09,10394.85,60.09
2021-07-12,10339.03,59.4
2021-07-13,10449.07,59.7
2021-07-14,10344.05,57.91
2021-07-15,10524.89,59.98
2021-07-16,10313.4,59.7
2021-07-19,10409.37,59.35
2021-07-20,10434.5,58.46
2021-07-21,10379.23,58.08
2021-07-22,10233.56,58.54
2021-07-23,10032.51,57.64
2021-07-26,9550.69,54.5
2021-07-27,9092.33,52.67
2021-07-28,9373.76,53.11
2021-07-29,9277.74,53.25
2021-07-30,8921.99,53.67
2021-08-02,9303.92,54.01
2021-08-03,9275.28,54.24
2021-08-04,9148.15,53.6
2021-08-05,9022.53,54.2
2021-08-06,8881.84,53.67
2021-08-09,8996.4,55.12
2021-08-10,9525.01,55.73
2021-08-11,9281.31,55.8
2021-08-12,8977.31,54.74
2021-08-13,9027.76,54.31
2021-08-16,9023.54,54.93
2021-08-17,8700.94,54.21
2021-08-18,8625.57,56.04
2021-08-19,8625.42,53.71
2021-08-20,8263.79,53.01
2021-08-23,8375.29,52.7
2021-08-24,8651.6,51.8
2021-08-25,8851.79,51.58
2021-08-26,8499.95,50.3
2021-08-27,8505.13,52.0
2021-08-30,8454.73,50.71
2021-08-31,8314.04,49.9
2021-09-01,8635.67,51.49
2021-09-02,8619.54,51.55
2021-09-03,8817.62,51.71
2021-09-06,8880.18,51.58
2021-09-07,8871.79,52.34
2021-09-08,8691.4,51.95
2021-09-09,8696.32,51.62
2021-09-10,8839.53,51.71
2021-09-13,8796.42,51.12
2021-09-14,8811.49,49.86
2021-09-15,8604.17,49.47
2021-09-16,8716.37,49.51
2021-09-17,8957.21,48.68
2021-09-22,8714.46,47.78
