日期,茅台收盘,平安收盘,茅台收益率,平安收益率,茅台5日均线,茅台20日均线,茅台_看多信号,实际持仓,策略每日收益
2022-02-07,9871.52,51.98,-0.009598492654399,0.0402241344806884,-0.0080386724707534,-0.0042686741419299,0,0.0,-0.0
2022-02-08,9726.0,53.0,-0.0147413974747556,0.0196229318968834,-0.0102833866904817,-0.0050343916525157,0,0.0,-0.0
2022-02-09,10012.31,53.04,0.029437589965042,0.0007547169811321,-0.0055726170860306,-0.0029286407576062,0,0.0,0.0
2022-02-10,9896.85,54.18,-0.0115318043488464,0.0214932126696831,-0.0088538656254594,-0.002520114242892,0,0.0,-0.0
2022-02-11,9781.12,55.59,-0.011693619687072,0.0260243632336656,-0.0036255448400062,-0.0021374547553745,0,0.0,-0.0
2022-02-14,9875.09,53.9,0.0096072842373877,-0.0304011512862026,0.0002156105383511,-0.0022457042676401,1,0.0,0.0
2022-02-15,9985.38,53.28,0.0111685058060229,-0.0115027829313543,0.0053975911945068,-0.0010703446411898,1,1.0,0.0111685058060229
2022-02-16,9995.08,53.84,0.0009714202163564,0.0105105105105105,-0.0002956427552302,-0.0016709847199583,1,1.0,0.0009714202163564
2022-02-17,9967.14,53.65,-0.0027953753246597,-0.0035289747399703,0.001451643049607,0.000360488598525,1,1.0,-0.0027953753246597
2022-02-18,10067.69,54.5,0.0100881496597822,0.015843429636533,0.0058079969189778,0.001128030098391,1,1.0,0.0100881496597822
2022-02-21,9916.89,54.16,-0.0149786097903293,-0.0062385321100918,0.0008908181134344,0.0005163795504964,1,1.0,-0.0149786097903293
2022-02-22,9569.58,53.07,-0.0350220684105601,-0.0201255539143278,-0.0083472967298821,-0.002017580101122,0,1.0,-0.0350220684105601
2022-02-23,9665.76,52.89,0.0100505978318798,-0.0033917467495759,-0.0065314612067774,-0.0020110641863754,0,0.0,0.0
2022-02-24,9349.7,51.46,-0.032698929002996,-0.0270372471166572,-0.0125121719424446,-0.0050778715355216,0,0.0,-0.0
2022-02-25,9525.31,51.4,0.0187824208263365,-0.0011659541391372,-0.0107733177091338,-0.0045131060997621,0,0.0,0.0
2022-02-28,9481.8,50.76,-0.0045678303383301,-0.0124513618677043,-0.0086911618187339,-0.0039058514094254,0,0.0,-0.0
2022-03-01,9823.89,51.39,0.0360785926722775,0.0124113475177305,0.0055289703978335,-0.0019260304570058,1,0.0,0.0
2022-03-02,9755.55,50.76,-0.0069565111172865,-0.0122591943957969,0.0021275486080002,-0.0025680431100095,1,1.0,-0.0069565111172865
2022-03-03,9530.04,50.92,-0.0231160723895627,0.0031520882584712,0.0040441199306869,-0.0039675686469025,1,1.0,-0.0231160723895627
2022-03-04,9432.05,50.1,-0.0102822233694718,-0.0161036920659858,-0.0017688089084747,-0.0025899186346592,1,1.0,-0.0102822233694718
2022-03-07,9062.73,48.88,-0.039155856892192,-0.0243512974051895,-0.0086864142192471,-0.0040677868465488,0,1.0,-0.039155856892192
2022-03-08,9294.88,47.47,0.025615901610221,-0.0288461538461539,-0.0107789524316584,-0.0020499218923,0,0.0,0.0
2022-03-09,9425.42,46.92,0.0140442910505569,-0.0115862650094795,-0.0065787919980897,-0.0028195868380242,0,0.0,0.0
2022-03-10,9502.05,46.91,0.0081301416806889,-0.0002131287297528,-0.0003295491840394,-0.0018364895365475,1,0.0,0.0
2022-03-11,9374.32,47.14,-0.0134423624375792,0.0049030057557024,-0.0009615769976608,-0.0019239266740728,1,1.0,-0.0134423624375792
2022-03-14,9027.56,45.81,-0.0369904163715342,-0.0282138311412812,-0.0005284888935293,-0.0042538117045189,1,1.0,-0.0369904163715342
2022-03-15,8540.15,42.65,-0.0539913332063148,-0.0689805719275268,-0.0164499358568364,-0.0075118036551358,0,1.0,-0.0539913332063148
2022-03-16,8901.69,44.29,0.0423341510395016,0.0384525205158265,-0.0107919638590475,-0.0054436671139786,0,0.0,0.0
2022-03-17,9128.81,45.5,0.0255142562816721,0.0273199367803116,-0.0073151409388509,-0.004028185533662,0,0.0,0.0
2022-03-18,9066.7,47.93,-0.0068037345502862,0.0534065934065934,-0.0059874153613923,-0.0048727797441654,0,0.0,-0.0
2022-03-21,9049.16,47.04,-0.001934551711207,-0.018568746088045,0.0010237575706731,-0.0042205768402093,1,0.0,-0.0
2022-03-22,9002.43,47.8,-0.0051640152235123,0.0161564625850338,0.0107892211672336,-0.0027276741808569,1,1.0,-0.0051640152235123
2022-03-23,9289.8,47.9,0.0319213812270686,0.0020920502092049,0.008706667204747,-0.0016341350110974,1,1.0,0.0319213812270686
2022-03-24,9132.73,48.25,-0.0169077913410407,0.0073068893528183,0.0002222576802044,-0.0008445781279997,1,1.0,-0.0169077913410407
2022-03-25,8977.31,47.63,-0.0170179124971394,-0.0128497409326424,-0.0018205779091661,-0.0026345947941735,1,1.0,-0.0170179124971394
2022-03-28,8830.58,47.85,-0.0163445397340628,0.0046189376443417,-0.0047025755137373,-0.0032234302639601,0,1.0,-0.0163445397340628
2022-03-29,8861.74,47.21,0.0035286470424367,-0.0133751306165099,-0.0029640430605475,-0.0048509275454521,1,0.0,0.0
2022-03-30,9178.8,48.7,0.0357785265647603,0.031561109934336,-0.0021926139930091,-0.0027141756613498,1,1.0,0.0357785265647603
2022-03-31,9123.03,48.45,-0.0060759576415215,-0.0051334702258727,-2.6247253105341795e-05,-0.0018621699239477,1,1.0,-0.0060759576415215
2022-04-01,9429.59,48.96,0.0336028709759805,0.0105263157894737,0.0100979094415186,0.0003320847933248,1,1.0,0.0336028709759805
2022-04-06,9354.17,49.54,-0.0079982268582197,0.0118464052287581,0.0117671720166872,0.0018899662950234,1,1.0,-0.0079982268582197
