日期,茅台收盘,平安收盘,茅台收益率,平安收益率,茅台5日均线,茅台20日均线
2021-09-23,8700.94,48.22,-0.0015514443809483,0.0092088740058602,-0.0023019861052162053,0.00047047066446550526
2021-09-24,8997.41,48.08,0.034073330008022,-0.0029033596018249,0.009218353965132514,0.0010171835377918452
2021-09-27,9806.4,49.0,0.0899136529290096,0.019134775374376,0.024593046820392175,0.007500260824196506
2021-09-28,9640.88,49.26,-0.016878773046174,0.0053061224489796,0.015691138548566234,0.006625851404412709
2021-09-29,9630.53,49.19,-0.001073553451552,-0.0014210312626877,0.020896642411671454,0.006868465499274284
2021-09-30,9680.78,48.36,0.0052177813682112,-0.0168733482415124,0.022250487561503354,0.007961374040808161
2021-10-08,9729.02,52.1,0.0049830695460488,0.077336641852771,0.016432435469108712,0.0062762693235385355
2021-10-11,9867.3,52.74,0.014213147881287,0.0122840690978887,0.0012923344595641949,0.007080318428958221
2021-10-12,9886.75,52.26,0.0019711572567977,-0.0091012514220706,0.005062320520158535,0.006029859058859921
2021-10-13,10182.76,51.75,0.0299400713075581,-0.0097588978185992,0.011265045471980553,0.007172118373521651
2021-10-14,10087.79,51.41,-0.0093265480085948,-0.0065700483091788,0.008356179596619355,0.0067530310065146495
2021-10-15,10117.79,50.88,0.002973892200373,-0.0103092783505153,0.007954344127484195,0.007918375018739625
2021-10-18,9530.04,49.86,-0.0580907490667428,-0.0200471698113208,-0.006506435262121765,0.0049855337248244395
2021-10-19,9591.24,51.45,0.0064217988591861,0.0318892900120337,-0.005616306941644085,0.004483229404463161
2021-10-20,9736.05,51.37,0.015098152063758,-0.0015549076773567,-0.008584690790404104,0.005481984814038955
2021-10-21,9751.13,54.28,0.0015488827604623,0.0566478489390696,-0.006409604636592685,0.005473769104078459
2021-10-22,10037.54,54.29,0.02937198047816,0.0001842299189387,-0.0011299869810352837,0.00811878664517254
2021-10-25,9897.0,53.21,-0.0140014385994975,-0.0198931663289739,0.007687875112413778,0.006766705282562099
2021-10-26,9836.8,52.17,-0.0060826513084774,-0.0195451982710016,0.005186985078881077,0.005081034301490445
2021-10-27,9625.51,51.65,-0.0214795461938841,-0.0099674142227333,-0.0021285545726473423,0.005362110630150145
2021-10-28,9658.12,51.3,0.0033878724348113,-0.0067763794772507,-0.0017607566377775424,0.0056090764709381255
2021-10-29,9661.08,49.57,0.0003064778652572,-0.0337231968810916,-0.0075738571603581025,0.003920733863799886
2021-11-01,9545.11,50.12,-0.0120038339398906,0.0110954206173088,-0.007174336228436723,-0.0011751404796451245
2021-11-02,9553.35,50.01,0.0008632692551473,-0.00219473264166,-0.005785152115711783,-0.00028803836457905955
2021-11-03,9354.17,50.05,-0.020849230898062,0.0007998400319935,-0.005659089056547363,-0.0012768222369045595
2021-11-04,9551.14,49.7,0.0210569189997615,-0.0069930069930068,-0.002125279743557323,-0.0004848653553270445
2021-11-05,9630.23,49.93,0.0082806869127665,0.0046277665995975,-0.0005304379340554631,-0.00031998448699115947
2021-11-08,9631.03,50.4,8.307174387334193e-05,0.0094131784498296,0.0018869432026973252,-0.0010264882938618423
2021-11-09,9479.84,49.69,-0.0156982171169647,-0.0140873015873016,-0.0014253540717250747,-0.001909957012549962
2021-11-10,9298.84,49.13,-0.0190931492514642,-0.0112698732139262,-0.0010741377424055149,-0.004361618040501078
2021-11-11,9377.28,51.15,0.0084354607671495,0.0411154081009565,-0.0035984293889279153,-0.0034735176017138616
2021-11-12,9398.29,50.61,0.0022405217717718,-0.010557184750733,-0.004806462417126855,-0.003510186123143922
2021-11-15,9334.77,50.6,-0.006758676312393,-0.0001975894092076,-0.006174812028380124,-0.0009435824854264318
2021-11-16,9570.23,50.36,0.0252239744525037,-0.0047430830039526,0.002009626285513557,-3.4737057605519275e-06
2021-11-17,9504.91,50.05,-0.006825332306538,-0.0061556791104051,0.004463189674498797,-0.0010996479242753518
2021-11-18,9489.84,49.51,-0.0015854963382083,-0.0107892107892108,0.002458998253427237,-0.0012563668792088818
2021-11-19,9672.79,49.96,0.0192785125987373,0.0090890729145627,0.005866596418820337,-0.001761040273180017
2021-11-22,9802.73,49.71,0.0134335595004129,-0.005004003202562,0.009905043581381518,-0.0003892903681844967
2021-11-23,10014.58,49.62,0.0216113266406399,-0.0018105009052504,0.009182514019008757,0.0009954085292713682
2021-11-24,10238.53,49.75,0.0223623956271756,0.0026199113260783,0.015020059605751476,0.0031875056203243533
2021-11-25,10314.05,49.4,0.0073760588678255,-0.007035175879397,0.016812370646958237,0.003386914941975063
2021-11-26,10238.58,48.72,-0.0073172032324837,-0.0137651821862347,0.011493227480714036,0.0030057308870880184
2021-11-29,10459.62,48.66,0.0215889312775796,-0.001231527093596,0.013124301836147378,0.0046853691479615284
2021-11-30,10187.13,48.22,-0.0260516156418686,-0.0090423345663789,0.003591713379645677,0.0033396249031107336
2021-12-01,10198.28,48.87,0.001094518279437,0.0134798838656158,-0.0006618620899020427,0.004436812361985683
2021-12-02,10203.36,48.88,0.0004981232129339,0.0002046245140168,-0.002037449220880363,0.003408872572644303
2021-12-03,10393.7,48.99,0.0186546392560882,0.0022504091653028,0.0031569192768340173,0.003927570189810388
2021-12-06,10370.68,49.15,-0.0022148031980911,0.003265972647479,-0.0016038276183001229,0.0038126764427121656
2021-12-07,10313.25,50.39,-0.0055377275164213,0.0252288911495421,0.002498950006789337,0.004320700922739335
2021-12-08,10751.06,50.34,0.0424512156691634,-0.0009922603691208,0.010770289484734618,0.0073979191687707155
2021-12-09,10969.89,51.31,0.0203542720438729,0.0192689709972189,0.014741519250922416,0.007993859732606887
2021-12-10,10987.23,51.22,0.0015806904171327,-0.0017540440459949,0.011326729483131319,0.00796086816487493
2021-12-13,11128.92,51.15,0.0128958800352774,-0.0013666536509175,0.014348866129805016,0.00894359598225845
2021-12-14,11288.71,50.85,0.0143580868583832,-0.0058651026392961,0.018328029004765916,0.008400301602552427
2021-12-15,11213.34,50.7,-0.006676582178123,-0.0029498525073745,0.008502469435308638,0.008407739108973175
2021-12-16,11132.89,51.2,-0.0071744903837751,0.009861932938856,0.0029967169497790375,0.008128289406694836
